Date,Forecast Sales,Forecast Lower,Forecast Upper,Actual Sales,Data Type,Year,Month,Month Name,Quarter
2014-01-31,16367.21567858327,9149.08358238791,23631.385606838674,14236.895,Actual,2014,1,January,Q1
2014-02-28,7562.3928994698,-70.07849290020593,14731.337622634037,4519.892,Actual,2014,2,February,Q1
2014-03-31,43784.65780635105,36783.1135651122,51250.405156323606,55691.009,Actual,2014,3,March,Q1
2014-04-30,27635.009151421164,20436.72471841539,34934.779027974684,28295.345,Actual,2014,4,April,Q2
2014-05-31,27658.916753397883,20444.412839484507,34997.02323945311,23648.287,Actual,2014,5,May,Q2
2014-06-30,28562.62453421819,21837.411009407275,35641.565009895305,34595.1276,Actual,2014,6,June,Q2
2014-07-31,28172.40104138081,21237.118542436714,35567.989903190464,33946.393,Actual,2014,7,July,Q3
2014-08-31,27875.454212970122,21096.746791210662,35424.138806592695,27909.468500000003,Actual,2014,8,August,Q3
2014-09-30,68322.44203612067,61288.12095473952,75571.90800215788,81777.3508,Actual,2014,9,September,Q3
2014-10-31,33306.808924957106,26163.481815010848,40458.761675357,31453.393,Actual,2014,10,October,Q4
2014-11-30,73709.78166657852,66907.47727414958,81123.740362091,78628.7167,Actual,2014,11,November,Q4
2014-12-31,74002.96084720935,66762.81942802545,81582.96718202777,69545.6205,Actual,2014,12,December,Q4
2015-01-31,19696.659197419463,12478.071008525878,27000.21059020421,18174.0756,Actual,2015,1,January,Q1
2015-02-28,15467.030995036279,8864.608476346328,22747.487186117494,11951.411,Actual,2015,2,February,Q1
2015-03-31,51349.91595165952,43472.721303524675,58655.745428319686,38726.252,Actual,2015,3,March,Q1
2015-04-30,36299.70542285037,28930.175815112696,43499.76594753453,34195.2085,Actual,2015,4,April,Q2
2015-05-31,27832.267385870782,20996.769310647072,35544.13896053456,30131.6865,Actual,2015,5,May,Q2
2015-06-30,32060.20038861691,24708.30884783374,38984.40559865733,24797.292,Actual,2015,6,June,Q2
2015-07-31,33655.77097009216,26602.584451730825,40892.91694998387,28765.325,Actual,2015,7,July,Q3
2015-08-31,38292.49755967555,31184.986605923372,45387.930819060195,36898.3322,Actual,2015,8,August,Q3
2015-09-30,75659.94579574838,68247.30907093108,83058.09160680529,64595.918,Actual,2015,9,September,Q3
2015-10-31,33302.90019631841,26112.05874343686,40229.69953798721,31404.9235,Actual,2015,10,October,Q4
2015-11-30,83467.18741712117,76577.55188044021,90216.12606507805,75972.5635,Actual,2015,11,November,Q4
2015-12-31,76994.4709662363,69727.46200044759,84167.1135916886,74919.5212,Actual,2015,12,December,Q4
2016-01-31,23141.022461560966,15945.384813339382,30509.891143419274,18542.491,Actual,2016,1,January,Q1
2016-02-29,14469.558491304488,7045.1741224996085,22252.72268553053,22978.815,Actual,2016,2,February,Q1
2016-03-31,51112.9227132218,43811.11289702286,58080.809641012886,51715.875,Actual,2016,3,March,Q1
2016-04-30,32430.09538644417,25197.680246967288,39807.648878662905,38750.039000000004,Actual,2016,4,April,Q2
2016-05-31,49555.93665694047,42137.336379705666,56346.61556510808,56987.728,Actual,2016,5,May,Q2
2016-06-30,44356.16540130507,37127.68760517618,51466.68085142998,40344.534,Actual,2016,6,June,Q2
2016-07-31,40146.31404594717,32849.6431968205,48067.25227719247,39261.963,Actual,2016,7,July,Q3
2016-08-31,29736.370287582846,22719.203841674855,37099.882538155674,31115.3743,Actual,2016,8,August,Q3
2016-09-30,75787.35015579646,68927.1671798164,83078.99923842997,73410.0249,Actual,2016,9,September,Q3
2016-10-31,55899.364788530664,48551.62408856695,63134.71064501715,59687.744999999995,Actual,2016,10,October,Q4
2016-11-30,76820.47385032458,69508.95701983776,84243.73324760399,79411.9658,Actual,2016,11,November,Q4
2016-12-31,90439.56627606609,83204.35703179652,97593.66659760344,96999.043,Actual,2016,12,December,Q4
2017-01-31,35670.17409730994,28124.14186677143,42541.81302977011,43971.374,Actual,2017,1,January,Q1
2017-02-28,22303.647810257018,15231.945466124882,29830.393484416676,20301.133400000002,Actual,2017,2,February,Q1
2017-03-31,58784.16946760374,51529.568667110434,66040.98424133855,58872.3528,Actual,2017,3,March,Q1
2017-04-30,41429.09777807277,33845.70851962971,48540.5811280336,36521.5361,Actual,2017,4,April,Q2
2017-05-31,49992.34568854063,42344.38544132687,56445.00582579115,44261.1102,Actual,2017,5,May,Q2
2017-06-30,47757.97003565729,40955.10315122995,55275.47028193846,52981.7257,Actual,2017,6,June,Q2
2017-07-31,45436.9071546313,38462.57884383576,52803.003939956114,45264.416,Actual,2017,7,July,Q3
2017-08-31,40128.751934425854,32629.982015864516,47202.70223876648,63120.888,Actual,2017,8,August,Q3
2017-09-30,83477.799321,76297.85754186903,90926.52523365027,87866.652,Actual,2017,9,September,Q3
2017-10-31,55960.844226381276,49004.13567476059,63633.6643887735,77776.9232,Actual,2017,10,October,Q4
2017-11-30,86620.03289742424,79026.45749902177,93970.53750968887,118447.825,Actual,2017,11,November,Q4
2017-12-31,93619.06903719698,85874.36536399195,101167.89028170996,83829.3188,Actual,2017,12,December,Q4
2018-01-31,39014.52344249295,32152.777570350347,46509.13108896127,,Forecast,2018,1,January,Q1
2018-02-28,30216.06714260571,23572.266736677142,37753.037795087665,,Forecast,2018,2,February,Q1
2018-03-31,66445.38065244247,58941.01728312455,73524.57008577728,,Forecast,2018,3,March,Q1
2018-04-30,50302.55322616495,43137.58069323036,57715.99642233355,,Forecast,2018,4,April,Q2
2018-05-31,50333.50942924945,43100.57647577186,57559.079615100556,,Forecast,2018,5,May,Q2
2018-06-30,51244.038438262236,44024.188491524365,58675.80384560422,,Forecast,2018,6,June,Q2
